,state,death,deathIncrease,hospitalizedCurrently,hospitalizedIncrease,negative,negativeIncrease,positive,positiveCasesViral,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,totalTestsViralIncrease
1168,UT,551.0,5,311.0,65,863299.0,3982,96643.0,96643.0,1081,71693.0,1268464.0,8322,4919,8322
1169,VA,3485.0,28,937.0,39,2254727.0,13055,167754.0,157213.0,926,19170.0,2411940.0,13829,0,0
1171,VT,58.0,0,0.0,0,177757.0,106,1956.0,1956.0,10,1701.0,360803.0,875,116,875
1173,WI,1652.0,35,1192.0,218,1712883.0,9070,187828.0,178482.0,4686,139455.0,2910573.0,15330,13661,0
1174,WV,408.0,9,191.0,0,671290.0,3593,20519.0,19513.0,226,14988.0,691809.0,3819,0,3778
1175,WY,61.0,4,66.0,7,108754.0,0,9526.0,8070.0,215,6944.0,118280.0,215,0,0
1176,AK,67.0,0,65.0,0,524003.0,3308,12220.0,12220.0,204,6516.0,536223.0,3512,0,3512
1177,AL,2789.0,1,859.0,226,1107828.0,5459,173485.0,152272.0,859,74238.0,1260100.0,6204,0,6204
1178,AR,1714.0,10,604.0,46,1130124.0,7536,99597.0,93790.0,531,89217.0,1223914.0,7970,0,7970
1180,AZ,5830.0,3,721.0,8,1413104.0,8043,231897.0,226681.0,748,38553.0,1639785.0,8762,8762,0
1182,CO,2042.0,0,445.0,10,1000666.0,9258,85302.0,79492.0,933,7176.0,1689313.0,21260,10181,0
1183,CT,4554.0,12,195.0,0,1975576.0,70773,64021.0,61441.0,1191,9651.0,2039597.0,71964,0,71905
1185,DE,666.0,1,107.0,0,305822.0,1619,23196.0,22098.0,103,12113.0,513029.0,6458,1722,0
1188,GU,66.0,0,68.0,0,55793.0,500,3756.0,3742.0,81,2350.0,59549.0,581,592,1423
1189,HI,187.0,1,96.0,4,295153.0,0,14225.0,14031.0,82,11044.0,477316.0,3735,0,0
1190,IA,1538.0,10,480.0,0,733056.0,2480,102517.0,102517.0,557,82188.0,835573.0,3037,3041,0
1195,KY,1326.0,9,764.0,24,1623672.0,22939,88247.0,75143.0,640,17229.0,1698815.0,24167,0,24167
1196,LA,5766.0,16,553.0,0,2418394.0,4665,179070.0,175982.0,201,161792.0,2597464.0,4866,4866,0
1197,MA,9753.0,16,500.0,8,2390813.0,16827,144488.0,141474.0,828,118892.0,5239651.0,70708,17654,70708
1198,MD,4041.0,4,434.0,40,1680568.0,9563,136154.0,136154.0,497,7892.0,3103833.0,24671,10060,24671
1199,ME,146.0,0,8.0,1,543515.0,15739,5962.0,5323.0,23,5175.0,549477.0,15762,0,15819
1200,MI,7363.0,46,1050.0,0,4171501.0,59863,164123.0,147806.0,5004,109539.0,4335624.0,64867,0,111021
1201,MN,2239.0,5,532.0,50,1570130.0,11624,124439.0,124135.0,1627,109963.0,2511395.0,22177,12947,0
1204,MS,3171.0,0,653.0,143,729544.0,0,110592.0,98947.0,586,97675.0,840136.0,586,0,0
1205,MT,241.0,0,339.0,10,418976.0,10663,23390.0,23390.0,569,13538.0,442366.0,11232,0,11232
1206,NC,3939.0,5,1142.0,0,3401192.0,29962,247172.0,238894.0,1144,218541.0,3648364.0,31106,0,31051
1207,ND,310.0,9,205.0,14,240100.0,1523,32637.0,32637.0,659,26392.0,741160.0,8072,2182,8427
1208,NE,548.0,0,343.0,8,485145.0,3352,58068.0,58068.0,734,38956.0,799579.0,7949,4088,7949
1209,NH,468.0,1,16.0,0,305060.0,1390,9746.0,9746.0,52,8258.0,543562.0,4949,1442,4949
1210,NJ,16214.0,3,758.0,113,3996500.0,77642,221205.0,221205.0,1192,35944.0,4217705.0,78834,0,80109
1211,NM,934.0,5,171.0,29,1018103.0,7719,36788.0,36788.0,445,19894.0,1054891.0,8164,0,8164
1212,NV,1712.0,2,485.0,0,672359.0,3112,90843.0,90843.0,582,2330.0,1156001.0,1348,3694,0
1213,NY,25659.0,15,934.0,0,12496896.0,81011,485279.0,485279.0,998,78442.0,12982175.0,82009,0,0
1214,OH,5075.0,8,1154.0,111,3757943.0,39081,183624.0,172997.0,1837,151037.0,3941567.0,40918,0,40833
1215,OK,1173.0,2,792.0,17,1327532.0,0,108073.0,108073.0,774,92367.0,1435605.0,774,0,0
1216,OR,628.0,8,168.0,61,748715.0,3143,39794.0,37781.0,262,5870.0,788509.0,3405,13271,0
1217,PA,8500.0,8,870.0,0,2143966.0,11315,183315.0,176054.0,1103,146652.0,2327281.0,12418,12321,54078
1218,PR,768.0,2,327.0,0,305972.0,0,29138.0,29138.0,427,25939.0,335110.0,427,0,0
1219,RI,1159.0,1,124.0,0,370979.0,1017,28347.0,28347.0,85,2546.0,977911.0,2927,1102,0
1220,SC,3661.0,11,697.0,20,1445591.0,8318,164609.0,157970.0,619,82637.0,1610200.0,8937,0,8894
1221,SD,323.0,0,304.0,27,198614.0,836,33836.0,32904.0,567,25125.0,232450.0,1403,1403,3131
1222,TN,2922.0,13,1338.0,41,3151331.0,39256,232061.0,220566.0,3317,205832.0,3383392.0,42573,0,42410
1223,TX,17022.0,8,4319.0,0,6558370.0,55230,825673.0,825673.0,1894,729762.0,7384043.0,57124,0,57124
1224,UT,546.0,3,304.0,32,859317.0,5466,95562.0,95562.0,1168,71035.0,1260142.0,7159,6487,7159
1225,VA,3457.0,24,972.0,62,2241672.0,10732,166828.0,156439.0,690,19096.0,2398111.0,11333,0,0
1227,VT,58.0,0,0.0,0,177651.0,1128,1946.0,1946.0,9,1696.0,359928.0,4271,1137,4271
1229,WI,1617.0,29,1172.0,292,1703813.0,113244,183142.0,173891.0,7915,136910.0,2895243.0,20113,120949,0
1230,WV,399.0,0,177.0,0,667697.0,6906,20293.0,19328.0,212,14799.0,687990.0,7118,0,7092
1231,WY,57.0,0,68.0,4,108754.0,0,9311.0,7924.0,286,6796.0,118065.0,286,0,0
1232,AK,67.0,0,73.0,0,520695.0,1987,12016.0,12016.0,224,6488.0,532711.0,2211,0,2211
1233,AL,2788.0,0,823.0,0,1102369.0,4270,172626.0,151527.0,964,74238.0,1253896.0,5101,0,5101
1234,AR,1704.0,20,565.0,37,1122588.0,7773,99066.0,93356.0,644,88450.0,1215944.0,8302,0,8302
1236,AZ,5827.0,3,714.0,22,1405061.0,9622,231149.0,225962.0,742,38384.0,1631023.0,10320,10320,0
1238,CO,2042.0,0,428.0,48,991408.0,9154,84369.0,78569.0,1139,7127.0,1668053.0,21496,10146,0
1239,CT,4542.0,0,184.0,0,1904803.0,0,62830.0,60309.0,0,9651.0,1967633.0,0,0,0
1241,DE,665.0,1,106.0,0,304203.0,2676,23093.0,21997.0,151,12018.0,506571.0,5098,2827,0
1244,GU,66.0,2,63.0,0,55293.0,230,3675.0,3664.0,58,2297.0,58968.0,288,288,0
1245,HI,186.0,1,96.0,13,295153.0,0,14143.0,13949.0,96,10995.0,473581.0,3897,0,0
1246,IA,1528.0,1,475.0,0,730576.0,3795,101960.0,101960.0,857,81811.0,832536.0,4652,4657,0
1247,ID,529.0,6,221.0,19,303558.0,1126,52582.0,46754.0,878,25679.0,350312.0,1794,1794,2586
1251,KY,1317.0,5,691.0,0,1600733.0,0,87607.0,74600.0,810,17155.0,1674648.0,0,0,0
1252,LA,5750.0,23,550.0,0,2413729.0,25803,178869.0,175781.0,1143,161792.0,2592598.0,26946,26946,0
1253,MA,9737.0,14,483.0,11,2373986.0,14844,143660.0,140647.0,730,118892.0,5168943.0,80146,15588,80146
1254,MD,4037.0,1,433.0,83,1671005.0,11228,135657.0,135657.0,530,7890.0,3079162.0,29528,11758,29528
1255,ME,146.0,0,11.0,1,527776.0,0,5939.0,5309.0,26,5145.0,533715.0,26,0,0
1256,MI,7317.0,0,1000.0,0,4111638.0,0,159119.0,143106.0,0,109539.0,4270757.0,0,0,0
1257,MN,2234.0,17,484.0,65,1558506.0,17973,122812.0,122524.0,1722,108316.0,2489218.0,30947,19967,0
1260,MS,3171.0,0,609.0,0,729544.0,0,110006.0,98475.0,0,94165.0,839550.0,0,0,0
1261,MT,241.0,1,331.0,9,408313.0,2418,22821.0,22821.0,588,13441.0,431134.0,3006,0,3006
